station_id,station_name,drainage_division,river_region,notes
912101A,Gregory River at Gregory Downs (912101A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes
912105A,Gregory River at Riversleigh No. 2 (912105A),Carpentaria Coast,NICHOLSON-LEICHHARDT RIVERS,No notes
915011A,Porcupine Creek at Mt Emu Plains (915011A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,No notes
917107A,Elizabeth Creek at Mount Surprise (917107A),Carpentaria Coast,FLINDERS-NORMAN RIVERS,Uncertain catchment boundary.  The SRTM-derived boundary is 13.1% smaller than the BOM published value.
919003A,Mitchell River at O.K. Bridge (919003A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes
919201A,Palmer River at Goldfields (919201A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes
919309A,Walsh River at Trimbles Crossing (919309A),Carpentaria Coast,MITCHELL-COLEMAN RIVERS (QLD),No notes
922101B,Coen river at Racecourse (922101B),Carpentaria Coast,ARCHER-WATSON RIVERS,No notes
925001A,Wenlock river at Moreton (925001A),Carpentaria Coast,WENLOCK RIVER,No notes
926002A,Dulhunty River at Dougs Pad (926002A),Carpentaria Coast,DUCIE RIVER,No notes
G9030124,Daly Waters Creek at Daly Waters (G9030124),Carpentaria Coast,ROPER RIVER,Uncertain catchment boundary.  The SRTM-derived boundary is 36.9% smaller than the BOM published value.
G9030250,Ropa River at Red Rock  (G9030250),Carpentaria Coast,ROPER RIVER,Uncertainty with regards to catchment boundary.  The boundary derived from SRTM does not match the BOM drainage division boundary.  
G9070142,McArthur River Upstream of Bailey's Grave (G9070142),Carpentaria Coast,McARTHUR RIVER,No notes
A0020101,Diamantina River at Birdsville (A0020101),Lake Eyre Basin,DIAMANTINA-GEORGINA RIVERS,No notes
A0030501,Cooper Creek at Cullyamurra Water Hole (A0030501),Lake Eyre Basin,COOPER CREEK-BULLOO RIVER,No notes
G0010005,Ranken River at Soudan Homestead (G0010005),Lake Eyre Basin,DIAMANTINA-GEORGINA RIVERS,No notes
G0050115,Hugh River at South Road Crossing (G0050115),Lake Eyre Basin,DIAMANTINA-GEORGINA RIVERS,No notes
G0060005,Trephina Creek at Trephina Gorge (G0060005),Lake Eyre Basin,DIAMANTINA-GEORGINA RIVERS,No notes
401009,Maragle Creek at Maragle (401009),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401012,Murray River at Biggara (401012),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401015,Bowna Creek at Yambla (401015),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401203,Mitta Mitta River at Hinnomunjie (401203),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401208,Cudgewa Creek at Berringama (401208),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401210,Snowy Creek at Below Granite Flat (401210),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401212,Nariel Creek at Upper Nariel (401212),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401216,Big River at Jokers Creek (401216),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
401217,Gibbo River at Gibbo Park (401217),Murray-Darling Basin,UPPER MURRAY RIVER,No notes
402204,Yackandandah Creek at Osbornes Flat (402204),Murray-Darling Basin,KIEWA RIVER,No notes
402206,Running Creek at Running Creek (402206),Murray-Darling Basin,KIEWA RIVER,No notes
402213,Kinchington Creek at Osbornes Flat (402213),Murray-Darling Basin,KIEWA RIVER,No notes
402217,Flaggy Creek at Myrtleford Road Bridge (402217),Murray-Darling Basin,KIEWA RIVER,Uncertain catchment boundary.  The SRTM-derived boundary is 14.2% smaller than the BOM published value.
403209A,Reedy Creek at Wangaratta North (403209A),Murray-Darling Basin,OVENS RIVER,An examination of evidence concluded that gauge 403209A shares water with 403200.  For implications and adopted data see kf_FixingReedyCreek.pdf.
403213A,Fifteen Mile Creek at Greta South (403213A),Murray-Darling Basin,OVENS RIVER,No notes
403214,Happy Valley Creek at Rosewhite (403214),Murray-Darling Basin,OVENS RIVER,No notes
403217,Rose River at Matong North (403217),Murray-Darling Basin,OVENS RIVER,No notes
403221,Reedy Creek at Woolshed (403221),Murray-Darling Basin,OVENS RIVER,No notes
403222,Buffalo River at Abbeyard (403222),Murray-Darling Basin,OVENS RIVER,No notes
403226,Boggy Creek at Angleside (403226),Murray-Darling Basin,OVENS RIVER,No notes
403232,Morses Creek at Wandiligong (403232),Murray-Darling Basin,OVENS RIVER,No notes
404207,Holland Creek at Kelfeera (404207),Murray-Darling Basin,BROKEN RIVER,No notes
405205,Murrindindi River at Murrindindi above Colwells (405205),Murray-Darling Basin,GOULBURN RIVER,No notes
405209,Acheron River at Taggerty (405209),Murray-Darling Basin,GOULBURN RIVER,No notes
405215,Howqua River at Glen Esk (405215),Murray-Darling Basin,GOULBURN RIVER,No notes
405217,Yea River at Devlins Bridge (405217),Murray-Darling Basin,GOULBURN RIVER,No notes
405218,Jamieson River at Gerrang Bridge (405218),Murray-Darling Basin,GOULBURN RIVER,No notes
405219,Goulburn River at Dohertys (405219),Murray-Darling Basin,GOULBURN RIVER,No notes
405226,Pranjip Creek at Moorlim (405226),Murray-Darling Basin,GOULBURN RIVER,No notes
405227,Big River at Jamieson (405227),Murray-Darling Basin,GOULBURN RIVER,No notes
405238,Mollison Creek at Pyalong (405238),Murray-Darling Basin,GOULBURN RIVER,No notes
405245,Ford Creek at Mansfield (405245),Murray-Darling Basin,GOULBURN RIVER,No notes
405248,Major Creek at Graytown (405248),Murray-Darling Basin,GOULBURN RIVER,No notes
405251,Brankeet Creek at Ancona (405251),Murray-Darling Basin,GOULBURN RIVER,No notes
405263,Goulburn River at U/S of Snake Creek Junction (405263),Murray-Darling Basin,GOULBURN RIVER,No notes
405264,Big River at D/S of Frenchman Creek Junction (405264),Murray-Darling Basin,GOULBURN RIVER,No notes
405274,Home Creek at Yarck (405274),Murray-Darling Basin,GOULBURN RIVER,No notes
406208,Campaspe River at Ashborne (406208),Murray-Darling Basin,CAMPASPE RIVER,No notes
406213,Campaspe River at Redesdale (406213),Murray-Darling Basin,CAMPASPE RIVER,No notes
406214,Axe Creek at Longlea (406214),Murray-Darling Basin,CAMPASPE RIVER,No notes
