station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
912101A,70,431.7244568,233.2220917,361.7244568,3.06,269.3435974,0.66543,6,0.469806,0.4670957,0.001383,0.3174,0.0249,0.1087,0.2296,0.0737,0.0697,0.0853,0.0628,0.0279,0,0.21
912105A,118,431.7244568,240.4781799,313.7244568,2.74,179.650116,0.6469866,6,0.668421,0.3863132,0.0017347,0.3086,0.0226,0.1078,0.231,0.0724,0.0699,0.0905,0.0664,0.0308,0,1
915011A,739,984.9511108,839.4358521,245.9511108,2.64,40.9566727,0.5945756,4,0.6481152,0.4177395,0.0061019,0.333,0.0182,0.1305,0.2167,0.103,0.1314,0.0671,0,0,0,0.3
917107A,438,986.6960449,628.3557129,548.6960449,3.67,74.6605682,0.4330365,4,0.3494423,0.3659891,0.0075702,0.3324,0.0301,0.1143,0.1898,0.1528,0.1511,0.0296,0,0,0,0.5
919003A,183,1355.225342,460.9828186,1172.225342,13.45,230.6200714,1.0064111,7,0.4310062,0.2427166,0.0051204,0.602,0.0737,0.1225,0.1412,0.0279,0.0238,0.0089,0,0,0,1
919201A,403,1346.674805,711.9296265,943.674805,18.04,53.4948845,1.0204698,5,0.4879226,0.3335184,0.0178032,0.7205,0.1017,0.1199,0.0579,0,0,0,0,0,0,1
919309A,124,1290.396118,442.6983337,1166.396118,9.97,317.3601379,0.9574822,6,0.3310286,0.2770623,0.0036948,0.521,0.056,0.1233,0.1843,0.0388,0.0304,0.0201,0.0259,0,0,0
922101B,185,796.7037964,447.7018127,611.7037964,12.51,33.3177338,1.0561041,4,0.4425848,0.4302716,0.0183859,0.6292,0.102,0.1492,0.1151,0.0042,0.0002,0,0,0,0,1
925001A,47,644.2005615,131.2482147,597.2005615,4.3,177.9368744,0.8560874,6,0.3645473,0.1672361,0.0034617,0.3509,0.0302,0.1155,0.2046,0.0845,0.0807,0.0665,0.0672,0,0,0.1
926002A,40,148.9703674,80.1591492,108.9703674,2.93,36.8639297,0.8139135,4,0.5628656,0.4376353,0.0033192,0.4035,0.0169,0.17,0.3654,0.0304,0.0082,0.0054,0.0002,0,0,0.57
G9030124,211,278.4597168,246.8421783,67.4597168,0.93,44.8419304,0.2018315,3,0.4456428,0.561454,0.0016078,0.1588,0.0061,0.0491,0.0937,0.1143,0.1261,0.3245,0.1083,0.0192,0,0.13
G9030250,12,439.4089966,166.8942566,427.4089966,1.98,475.3310852,0.5755921,6,0.4247288,0.3620144,0.0008986,0.2074,0.0149,0.0711,0.121,0.0817,0.0807,0.0861,0.1156,0.186,0.0355,0.25
G9070142,80,353.9986267,218.984375,273.9986267,2.53,134.9938354,0.531701,6,0.5753745,0.5125828,0.0020519,0.2833,0.0228,0.0941,0.1802,0.1067,0.1198,0.1283,0.0649,0,0,1
A0020101,39,383.6542969,156.2261963,344.6542969,1.15,1027.897461,0.806309,7,0.3686204,0.347652,0.0003392,0.1236,0.0068,0.041,0.0711,0.0584,0.0765,0.1025,0.1348,0.1073,0.2781,0
A0030501,53,849.5159912,223.5884705,796.5159912,1.26,1610.990723,0.6468762,6,0.3304683,0.2209008,0.0004987,0.1432,0.007,0.0473,0.0833,0.0732,0.0871,0.1168,0.1451,0.1354,0.1616,0.31
G0010005,219,327.9839172,248.5470428,108.9839172,0.34,210.7076263,0.2070574,5,0.4287342,0.2857301,0.0005278,0.0922,0.0029,0.0286,0.0442,0.0553,0.0879,0.1093,0.1803,0.1134,0.2858,0
G0050115,473,1197.466431,657.3721924,724.466431,7.67,152.7087402,0.9380518,6,0.4265132,0.2536597,0.0047388,0.4341,0.0435,0.1022,0.1712,0.1244,0.0792,0.0436,0.0018,0,0,0.47
